GB,FR
a,un
a.m.,matin
abandon,abandonner
abandoned,abandonné
ability,aptitude
able,pouvoir
aboard,à bord
about,sur
above,au dessus
abroad,à l'étranger
absolute,absolu
absolutely,Tout à fait
absurd,absurde
abuse,abuser de
academy,académie
accent,accent
accept,J'accepte
accepted,accepté
access,accéder
accident,accident
accidentally,accidentellement
according,selon
account,Compte
accounts,comptes
accused,accusé
ace,as
achieve,atteindre
acid,acide
across,de l'autre côté
act,loi
acted,agi
acting,agissant
action,action
actions,Actions
active,actif
activities,Activités
activity,activité
actor,acteur de cinéma
actors,acteurs
actress,actrice
acts,actes
actual,réel
actually,réellement
ad,un d
adam,Adam
add,ajouter
added,ajoutée
addition,ajout
address,adresse
admiral,amiral
admire,admirer
admit,admettre
admitted,admis
adopted,adopté
adorable,adorable
adrian,Adrian
adult,adulte
adults,adultes
advance,avance
advanced,Avancée
advantage,avantage
adventure,aventure
advice,conseils
advise,conseiller
affair,aventure
affairs,affaires
affect,affecter
affected,affecté
afford,s'offrir
afraid,peur
africa,Afrique
african,africain
after,après
afternoon,après midi
afterwards,ensuite
again,encore
against,contre
age,âge
agency,agence
agent,agent
agents,agents
ages,âge
aggressive,agressif
ago,depuis
agree,Je suis d'accord
agreed,convenu
agreement,accord
ah,ah
ahead,en avant
ahem,ahem
ahh,ahh
aid,aide
aii,aii
aim,objectif
ain,se faire
air,air
aircraft,avion
airport,aéroport
al,Al
alan,Alan
alarm,alarme
albert,Albert
album,album
alcohol,de l'alcool
alert,alerte
alex,Alex
alexander,Alexandre
ali,Ali
alibi,alibi
alice,Alice
alicia,Alicia
alien,extraterrestre
aliens,extraterrestres
alike,ressemblent
alive,vivant
all,tout
all,tout
allen,Allen
alley,ruelle
alliance,Alliance
allison,Allison
allow,Autoriser
allowed,autorisé
ally,allié
almost,presque
alone,seul
along,sur
alpha,alpha
already,déjà
alright,bien
also,aussi
alternative,alternative
although,même si
always,toujours
am,un m
am,un m
amanda,amanda
amazing,étonnante
ambassador,ambassadeur
amber,ambre
ambulance,ambulance
amen,amen
america,Amérique
american,américain
americans,les Américains
among,parmi
amongst,parmi
amount,montant
amy,Amy
an,un
analysis,une analyse
ancestors,les ancêtres
ancient,ancien
and,et
and,et
and-,et-
anderson,Anderson
andrea,Andrea
andrew,Andrew
andy,Andy
angel,ange
angela,Angela
angeles,angeles
angels,anges
anger,colère
angle,angle
angry,fâché
animal,animal
animals,animaux
ann,Ann
anna,anna
anne,Anne
annie,Annie
anniversary,anniversaire
announce,annoncer
announcement,annonce
announcer,annonceur
annoying,énervant
anonymous,anonyme
another,une autre
answer,réponse
answered,répondu
answering,réponse
answers,réponses
anthony,Anthony
antonio,Antonio
anxious,anxieux
any,n'importe quel
anybody,n'importe qui
anymore,plus
anyone,quelqu'un
anything,n'importe quoi
anytime,à toute heure
anyway,De toute façon
anyways,de toute façon
anywhere,partout
apart,une part
apartment,appartement
apologies,excuses
apologize,s'excuser
apology,excuses
apparently,Apparemment
appeal,appel
appear,apparaître
appearance,apparence
appeared,est apparu
appears,apparaît
applause,applaudissements
apple,Pomme
application,application
apply,appliquer
appointment,rendez-vous
appreciate,apprécier
approach,approcher
approaching,approchant
appropriate,approprié
approve,approuver
april,avril
are,sommes
area,Région
areas,zones
aren,nœud
argue,se disputer
arguing,argumentant
argument,dispute
arm,bras
armed,armé
arms,les bras
army,armée
around,autour de
arrange,organiser
arranged,organisé
arrangements,dispositions
arrest,arrêter
arrested,arrêté
arrival,Arrivées
arrive,arriver
arrived,arrivé
arrives,arrive
arriving,en arrivant
arrow,La Flèche
arse,cul
art,art
arthur,Arthur
article,article
artist,artiste
artists,artistes
arts,arts
as,comme
ash,cendre
ashamed,honteux
ashes,cendres
ashley,Ashley
aside,de côté
ask,interroger
asked,a demandé
asking,demande
asks,demande
asleep,endormi
ass,cul
assault,assaut
asshole,Connard
assigned,attribué
assignment,mission
assistance,assistance
assistant,assistant
association,association
assume,présumer
assumed,assumé
assuming,en supposant
assure,assurer
at,à
ate,a mangé
atmosphere,atmosphère
attached,ci-joint
attack,attaque
attacked,attaqué
attacking,attaquant
attacks,attaques
attempt,tentative
attempted,tentative
attend,assister à
attention,attention
attitude,attitude
attorney,avocat
attracted,attiré
attractive,attrayant
audience,spectateurs
audition,audition
audrey,Audrey
august,août
aunt,tante
auntie,tata
australia,Australie
authorities,les autorités
authority,autorité
autopsy,autopsie
available,disponible
avenue,rue
average,moyen
avoid,éviter de
aw,aw
awake,éveillé
award,décerner
aware,au courant
away,une façon
awesome,impressionnant
awful,terrible
awfully,terriblement
awkward,gênant
ay,oui
aye,toujours
b,b
b.,né
babe,bébé
babies,bébés
baby,bébé
back,retour
background,Contexte
backup,sauvegarde
backwards,en arrière
bacon,lard
bad,mal
badge,badge
badly,mal
bag,sac
bags,Sacs
bail,caution
bailey,baiey
bait,appât
baker,boulanger
balance,solde
ball,Balle
balls,des balles
banana,banane
band,bande
bang,pan
banging,claquement
bank,banque
banks,banques
bar,bar
barbara,Barbara
barely,à peine
bargain,aubaine
barking,aboiement
barn,Grange
barney,Barney
baron,baron
barrel,baril
barry,barry
bars,bars
base,base
baseball,base-ball
based,basé
basement,sous-sol
basic,de base
basically,fondamentalement
basis,base
basket,corbeille
basketball,basket
bastard,bâtard
bastards,salauds
bat,chauve souris
bath,bain
bathroom,salle de bains
batman,homme chauve-souris
battery,la batterie
battle,bataille
bay,la baie
be,être
beach,plage
beam,rayonner
beans,des haricots
bear,ours
beard,barbe
bears,ours
beast,la bête
beat,battre
beaten,battu
beating,battement
beats,Beats
beautiful,belle
beauty,beauté
became,est devenu
because,car
becky,Becky
become,devenir
becomes,devient
becoming,qui est devenu
bed,lit
bedroom,chambre
bee,abeille
beef,bœuf
been,a été
beep,bip
beeping,bip
beeps,bips
beer,Bière
before,avant de
beg,mendier
began,a commencé
begging,mendicité
begin,commencer
beginning,début
begins,commence
begun,commencé
behalf,au nom de
behave,se comporter
behavior,comportement
behind,derrière
being,étant
beings,êtres
belief,croyance
believe,croire
believed,a cru
believes,croit
believing,croire
bell,cloche
bells,cloches
belly,ventre
belong,appartenir
belonged,appartenir
belongs,fait parti
beloved,bien-aimé
below,dessous
belt,ceinture
ben,Ben
bench,banc
bend,pliez
beneath,sous
benefit,bénéficier à
benny,Benny
berlin,Berlin
beside,à côté de
besides,outre
best,meilleur
bet,pari
beth,Beth
betray,trahir
betrayed,trahi
better,meilleur
betty,Betty
between,entre
beyond,au-delà
bible,Bible
bid,offre
big,gros
bigger,plus gros
biggest,plus grand
bike,Bicyclette
bill,facture
billion,milliard
bills,factures
billy,gamelle
bin,poubelle
bingo,bingo
bird,oiseau
birds,des oiseaux
birth,naissance
birthday,date d'anniversaire
bishop,évêque
bit,bit
bitch,chienne
bitches,chiennes
bite,morsure
bits,morceaux
bitter,amer
black,le noir
blackmail,chantage
blade,lame
blah,blabla
blake,Blake
blame,faire des reproches
blank,Vide
blanket,couverture
blast,explosion
bleed,saigner
bleeding,saignement
bleep,bip
bless,bénir
blessed,béni
blessing,bénédiction
blew,souffler
blind,aveugle
block,bloquer
blocks,blocs
bloke,type
blonde,blond
blood,du sang
bloody,sanglant
blow,souffler
blowing,soufflant
blown,soufflé
blows,coups
blue,bleu
bo,bêle
board,planche
boarding,embarquement
boat,bateau
boats,bateaux
bob,bob
bobby,policier
bodies,corps
body,corps
bold,audacieux
bomb,bombe
bombs,bombes
bond,obligation
bone,os
bones,des os
bonnie,Bonnie
boo,huer
book,livre
booked,réservé
books,livres
boom,boom
boot,botte
booth,stand
boots,bottes
booze,biberonner
border,frontière
bored,ennuyé
boring,ennuyeuse
born,née
borrow,emprunter
borrowed,emprunté
boss,chef
boston,Boston
both,tous les deux
bother,embêter
bothered,dérangé
bothering,dérangeant
bottle,bouteille
bottles,bouteilles
bottom,fond
bought,acheté
bound,bondir
bout,combat
bow,arc
bowl,bol
box,boîte
boxes,des boites
boy,garçon
boyfriend,copain
boys,garçons
brad,brad
brain,cerveau
brains,cerveaux
brakes,freins
branch,bifurquer
brand,marque
brandon,Brandon
brave,braver
bravo,Bravo
bread,pain
break,Pause
breakfast,petit-déjeuner
breaking,rupture
breaks,pauses
breast,Sein
breasts,seins
breath,haleine
breathe,respirer
breathing,respiration
brian,Brian
brick,brique
bride,la mariée
bridge,pont
brief,bref
bright,brillant
brilliant,génial
bring,apporter
bringing,apportant
brings,apporte
britain,Grande-Bretagne
british,Britanique
bro,frère
broad,vaste
broke,cassé
broken,cassé
brother,frère
brother-in-law,beau-frère
brothers,frères
brought,amené
brown,brun
bruce,Bruce
brush,brosser
buck,mâle
bucket,seau
bucks,chevreuils
bud,bourgeon
buddies,copains
buddy,copain
budget,budget
bug,punaise
bugs,Bugs
build,construire
building,imeuble
buildings,bâtiments
built,construit
bull,taureau
bullet,balle
bullets,balles
bullshit,connerie
bum,clochard
bump,cogner
bunch,groupe
bunny,lapin
burden,charge
bureau,bureau
burger,Burger
buried,enterré
burn,brûler
burned,brûlé
burning,brûlant
burns,brûlures
burnt,brûlé
burst,éclatement
bury,enterrer
bus,bus
bush,buisson
business,Entreprise
bust,bousiller
busted,cassé
busy,occupé
but,mais
butt,bout
butter,Beurre
button,bouton
buy,acheter
buying,achat
buzz,bourdonner
buzzing,bourdonnement
by,par
bye,au revoir
bye-bye,Bye Bye
c,c
cab,taxi
cabin,cabine
cabinet,cabinet
cable,câble
caesar,César
cage,cage
cake,gâteau
california,Californie
call,appel
called,appelé
calling,appel
calls,appels
calm,calmes
cam,came
came,est venu
camera,caméra
cameras,appareils photo
cameron,Cameron
camp,camp
campaign,campagne
campus,Campus
can,boîte
canada,Canada
cancel,annuler
cancer,cancer
candidate,candidat
candles,bougies
candy,Des bonbons
cannon,canon
cannot,ne peux pas
cap,casquette
capable,capable
capital,Capitale
captain,capitaine
capture,Capturer
captured,capturé
car,auto
card,carte
cards,cartes
care,se soucier
cared,soumis à
career,carrière
careful,prudent
carefully,avec attention
cares,se soucier
cargo,cargaison
carl,carl
carla,carla
carlos,carlos
carol,chant
caroline,Caroline
carpet,tapis
carrie,Carrie
carried,transporté
carry,porter
carrying,transport
cars,voitures
carson,Carson
cart,Chariot
carter,charretier
case,Cas
cases,cas
casey,casey
cash,en espèces
casino,casino
cast,moulage
castle,Château
cat,chat
catch,attraper
catching,contagieux
catherine,Catherine
catholic,catholique
cats,chats
cattle,bétail
caught,attrapé
cause,cause
cause,cause
caused,causé
causes,causes
causing,provoquant
cave,la grotte
ceiling,plafond
celebrate,célébrer
celebrating,célébrer
celebration,fête
cell,cellule
cellphone,téléphone portable
cells,cellules
cemetery,cimetière
center,centre
central,central
centre,centre
cents,cents
centuries,des siècles
century,siècle
ceremony,la cérémonie
certain,certain
certainly,assurément
certificate,certificat
chain,chaîne
chair,chaise
chairman,président
challenge,défi
chamber,chambre
champagne,Champagne
champion,champion
chan,chan
chance,chance
chances,chances
change,monnaie
changed,modifié
changes,changements
changing,en changeant
channel,canaliser
chanting,psalmodie
chaos,le chaos
chap,type
chapter,chapitre
character,personnage
characters,personnages
charge,charge
charged,accusé
charges,des charges
charity,charité
charles,Charles
charlie,Charlie
charlotte,Charlotte
charm,charme
charming,charmant
chase,chasse
chasing,ciselure
chat,discuter
chatter,bavarder
chattering,bavardage
cheap,bon marché
cheat,Tricher
cheated,triché
cheating,La triche
check,Chèque
checked,vérifié
checking,vérification
checks,chèques
cheer,bravo
cheering,applaudissement
cheers,à votre santé
cheese,fromage
chef,chef
chemical,chimique
cherry,cerise
chess,jeu d'échecs
chest,poitrine
chffffff,chffffff
chicago,Chicago
chick,poussin
chicken,poulet
chicks,poussins
chief,chef
child,enfant
childhood,enfance
children,#VALUE!
chill,froideur
chin,menton
china,Chine
chinese,chinois
chip,ébrécher
chips,frites
chirping,chant
chloe,Chloe
chocolate,Chocolat
choice,choix
choices,les choix
choose,choisir
chop,hacher
chose,choisi
chosen,choisi
chris,Chris
christ,Christ
christian,Christian
christina,Christina
christine,Christine
christmas,Noël
christopher,Christopher
chuck,mandrin
chuckles,rires
chuckling,rire
church,église
cia,CIA
cigarette,cigarette
cigarettes,cigarettes
cindy,cindy
cinema,cinéma
circle,cercle
circumstances,conditions
circus,cirque
cities,villes
citizen,citoyen
citizens,citoyens
city,ville
civil,civil
claim,réclamer
claimed,revendiqué
claims,réclamations
claire,Claire
clan,clan
clara,Clara
clark,clark
class,classer
classes,Des classes
classic,classique
claudia,Claudia
clay,argile
clean,nettoyer
cleaned,nettoyé
cleaning,nettoyage
clear,dégager
cleared,dégagé
clearly,clairement
clears,clairs
clever,intelligent
click,Cliquez sur
clicking,en cliquant
clicks,clics
client,client
clients,clients
cliff,falaise
climb,monter
climbing,escalade
clinic,clinique
clock,l'horloge
clock,l'horloge
close,proche
closed,fermé
closely,étroitement
closer,plus proche
closes,se ferme
closest,le plus proche
closet,placard
closing,fermeture
clothes,vêtements
clothing,Vêtements
cloud,nuage
clouds,des nuages
clown,clown
club,club
clubs,clubs
clue,indice
coach,entraîneur
coal,charbon
coast,côte
coat,manteau
cocaine,cocaïne
cock,coq
code,code
coffee,café
coffin,cercueil
coin,pièce de monnaie
coincidence,hasard
coke,du Coca
cold,froid
cole,cole
colin,colin
collar,collier
colleague,collègue
colleagues,collègues
collect,recueillir
collection,le recueil
college,collège
colonel,colonel
color,Couleur
colors,couleurs
colour,Couleur
coma,coma
combat,combat
combination,combinaison
come,viens
comedy,la comédie
comes,vient
comfort,confort
comfortable,à l'aise
comic,bande dessinée
comin,venir
coming,à venir
command,commande
commander,le commandant
comment,commentaire
commercial,commercial
commission,commission
commissioner,le commissaire
commit,commettre
commitment,engagement
committed,engagé
committee,Comité
common,commun
communicate,communiquer
communication,la communication
communist,communiste
community,communauté
companies,entreprises
company,compagnie
compare,comparer
compared,par rapport
competition,concurrence
complain,se plaindre
complaining,se plaindre
complaint,plainte
complete,Achevée
completed,complété
completely,totalement
complex,complexe
complicated,compliqué
computer,l'ordinateur
computers,des ordinateurs
comrade,camarade
comrades,camarades
con,con
concentrate,concentré
concept,concept
concern,préoccuper
concerned,concerné
concerns,préoccupations
concert,concert
conclusion,conclusion
condition,condition
conditions,les conditions
conduct,conduire
conference,conférence
confess,avouer
confession,confession
confidence,confiance
confident,sur de soi
confirm,confirmer
confirmed,confirmé
conflict,conflit
confused,confus
congratulations,toutes nos félicitations
congress,congrès
connect,relier
connected,lié
connection,lien
connie,Connie
connor,Connor
conscience,conscience
consequences,conséquences
consider,envisager
considered,considéré
considering,considérant
conspiracy,conspiration
constant,constant
constantly,en permanence
construction,construction
contact,Contactez
content,contenu
contest,concours
continue,Continuez
continued,a continué
continues,continue
contract,Contrat
contrary,contraire
control,contrôler
controlled,contrôlé
conversation,conversation
conversations,conversations
convince,convaincre
convinced,convaincu
cook,cuisinier
cooked,cuit
cookie,biscuit
cookies,biscuits
cooking,cuisine
cool,cool
cooper,tonnelier
cooperate,coopérer
cop,flic
copies,copies
cops,flics
copy,copie
core,cœur
corn,maïs
corner,coin
corporal,corporel
corporate,corporatif
corpse,corps
correct,corriger
corrected,corrigée
cos,COS
cost,Coût
costs,frais
costume,costume
cotton,coton
couch,canapé
coughing,tousser
coughs,toux
could,pourrait
couldn,ne pouvait pas
council,conseil
counsel,Conseil
counselor,conseiller
count,compter
counter,compteur
counting,compte
countries,des pays
country,pays
counts,comptes
county,comté
couple,couple
courage,courage
course,cours
court,rechercher
cousin,cousine
cover,couverture
covered,couvert
covering,couvrant
cow,vache
coward,lâche
cowboy,cow-boy
cows,vaches
crack,fissure
craig,craig
crane,grue
crap,et mince
crash,crash
crashed,écrasé
crashing,écraser
crazy,fou
cream,crème
create,créer
created,établi
creating,création
creation,création
creative,Créatif
creature,créature
creatures,créatures
credit,le crédit
creepy,sinistre
crew,équipage
cried,pleuré
cries,cris
crime,la criminalité
crimes,crimes
criminal,criminel
criminals,les criminels
crisis,crise
critical,critique
cross,traverser
crossed,franchi
crossing,traversée
crowd,foule
crown,couronne
cruel,cruel
cruise,croisière
crush,écraser
crushed,écrasé
cry,cri
crying,pleurs
crystal,cristal
culture,Culture
cup,Coupe
cure,soigner
curious,curieux
current,courant
currently,actuellement
curse,malédiction
cursed,maudit
curtis,curtis
custody,garde
customer,client
customers,clients
cut,Couper
cute,mignonne
cuts,coupures
cutting,Coupe
cycle,cycle
d,ré
da,da
dad,papa
daddy,papa
daily,du quotidien
daisy,Marguerite
dale,vallée
damage,dégâts
damaged,endommagé
dammit,prendre la gueulée
damn,Zut
damned,damné
dan,Dan
dana,Dana
dance,Danse
dancer,Danseur
dancing,dansant
danger,danger
dangerous,dangereux
daniel,Daniel
danny,Danny
dare,oser
dark,foncé
darkness,ténèbres
darling,chérie
darn,Zut
data,Les données
date,Date
dated,daté
dates,Rendez-vous
dating,sortir ensemble
daughter,la fille
daughters,filles
dave,Dave
david,David
davis,davis
dawn,aube
day,journée
days,journées
de,de
dead,morte
deadly,mortel
deaf,sourd
deal,accord
dealer,Marchand
dealing,transaction
deals,offres
dean,doyen
dear,chère
death,décès
deaths,des morts
debate,débat
debbie,debbie
debt,dette
december,décembre
decent,décent
decide,décider
decided,décidé
decision,décision
decisions,les décisions
deck,plate-forme
dedicated,dédié
deep,Profond
deeper,Plus profond
deeply,profondément
defeat,défaite
defeated,vaincu
defence,la défense
defend,défendre
defendant,défendeur
defense,la défense
definitely,absolument
degree,diplôme
degrees,degrés
del,del
delay,retard
delicate,délicat
delicious,délicieuse
delighted,ravi
deliver,livrer
delivered,livré
delivery,livraison
demand,demande
demands,demandes
demon,démon
demons,démons
denied,refusé
dennis,dennis
deny,Nier
department,département
depends,dépend
deposit,verser
depressed,déprimé
deputy,adjoint
derek,derek
describe,décris
described,décrit
description,la description
desert,désert
deserve,mériter
deserved,mérité
deserves,mérite
design,motif
designed,conçu
designer,designer
desire,désir
desk,bureau
desperate,désespéré
despite,en dépit
dessert,le dessert
destiny,destin
destroy,détruire
destroyed,détruit
destroying,destruction
destruction,destruction
detail,détail
details,détails
detective,détective
detectives,détectives
determine,déterminer
determined,déterminé
develop,développer
developed,développé
development,développement
device,dispositif
devil,diable
di,diable
dial,cadran
diamond,diamant
diamonds,diamants
diana,Diane
diane,Diane
diary,agenda
dick,queue
did,a fait
die,mourir
died,décédés
diego,Diego
dies,meurt
diet,diète
difference,différence
different,différent
differently,différemment
difficult,difficile
dig,creuser
digging,creusement
dignity,dignité
dings,dits
dining,à manger
dinner,dîner
direct,direct
directed,dirigée
direction,direction
directly,directement
director,directeur
dirt,saleté
dirty,sale
disappear,disparaître
disappeared,disparu
disappointed,désappointé
disaster,un sinistre
discover,découvrir
discovered,découvert
discovery,Découverte
discuss,discuter
discussed,discuté
discussion,discussion
disease,maladie
disgusting,répugnant
dish,assiette
dishes,vaisselle
dismissed,rejeté
display,affichage
distance,distance
distant,loin
district,district
disturb,déranger
disturbing,inquiétant
dive,se plonger
divine,Divin
division,division
divorce,divorcer
divorced,divorcé
dna,ADN
do,fais
doc,doc
doctor,docteur
doctors,médecins
document,document
documents,documents
does,Est-ce que
doesn,ne fait pas
dog,chien
dogs,chiens
doin,faire
doing,Faire
doll,poupée
dollar,dollar
dollars,dollar
donald,Donald
done,Fini
donna,Donna
dont,ne le faites pas
door,porte
doorbell,sabell
doors,des portes
dope,drogue
dorothy,Dorothy
double,double
doubt,doute
doubts,les doutes
doug,Doug
dough,Pâte
down,vers le bas
downstairs,en bas
downtown,centre ville
dozen,douzaine
dr,dr
dr.,Dr.
drag,glisser
dragged,traîné
dragon,dragon
drama,drame
dramatic,spectaculaire
drank,buvait
draw,dessiner
drawer,tiroir
drawing,dessin
drawn,dessiné
dream,rêver
dreamed,rêvé
dreaming,rêver
dreams,rêves
dress,robe
dressed,habillé
dressing,pansement
drew,a dessiné
drill,perceuse
drink,boisson
drinking,en buvant
drinks,boisson
drive,conduire
driven,entraîné
driver,chauffeur
drives,disques
driving,conduite
drop,goutte
dropped,chuté
dropping,goutte
drops,gouttes
drove,a conduit
drown,noyer
drowned,noyé
drug,médicament
drugs,drogues
drum,tambouriner
drunk,ivre
dry,sec
duck,canard
dude,mec
due,exigible
dug,creusé
duke,Duc
dull,terne
dumb,stupide
dump,décharger
dumped,abandonné
duncan,Duncan
dunno,ne pas faire
during,durant
dust,poussière
dutch,néerlandais
duties,fonctions
duty,devoir
dying,mourant
dylan,Dylan
e,e
e-mail,e-mail
each,chaque
eagle,Aigle
ear,oreille
earl,comte
earlier,plus tôt
early,tôt
earn,gagner
earned,mérité
ears,oreilles
earth,la terre
ease,faciliter
easier,Plus facile
easily,facilement
east,est
eastern,est
easy,facile
eat,manger
eaten,mangé
eating,en mangeant
eats,manger
economy,économie
ed,élégant
eddie,Eddie
edge,bord
editor,éditeur
education,éducation
edward,Edward
effect,effet
effective,efficace
effects,effets
effort,effort
efforts,efforts
egg,Oeuf
eggs,des œufs
egypt,Egypte
eh,Eh
eight,huit
either,Soit
el,El
elder,aîné
election,élection
electric,électrique
electricity,électricité
electronic,électronique
elements,éléments
elena,Elena
elephant,l'éléphant
elevator,ascenseur
eleven,Onze
eli,Eli
elizabeth,Elizabeth
ellen,Ellen
ellie,Ellie
elliot,Elliot
else,autre
elsewhere,autre part
em,em
embarrassed,embarrassé
embarrassing,gênant
embassy,ambassade
embrace,embrasse
emergency,urgence
emily,Emilie
emma,Emma
emotion,émotion
emotional,émotionnel
emotions,émotions
emperor,empereur
empire,Empire
employee,employé
employees,des employés
empty,vide
en,en
end,fin
ended,terminé
ending,fin
ends,prend fin
enemies,ennemis
enemy,ennemi
energy,énergie
engaged,engagé
engagement,engagement
engine,moteur
engineer,ingénieur
engines,moteurs
england,Angleterre
english,Anglais
enjoy,prendre plaisir
enjoyed,apprécié
enjoying,profit
enormous,énorme
enough,suffisant
enter,Entrer
entered,entré
entering,entrée
entertainment,divertissement
entire,entier
entirely,entièrement
entrance,entrée
entry,entrée
envelope,enveloppe
environment,environnement
envy,envie
episode,épisode
equal,égal
equipment,équipement
er,euh
era,ère
eric,Eric
erm,erm
error,Erreur
escape,échapper
escaped,échappé
escort,escorte
especially,surtout
established,établi
estate,domaine
et,ET
eternal,éternel
ethan,Ethan
europe,L'Europe 
european,européen
eva,Eva
evan,Evan
eve,veille
even,même
evening,soirée
event,un événement
events,événements
eventually,finalement
ever,déjà
every,tous
everybody,Tout le monde
everyday,tous les jours
everyone,tout le monde
everything,tout
everywhere,partout
evidence,preuve
evil,mauvais
ew,EW
ex,ex
exact,exact
exactly,exactement
exam,examen
example,Exemple
excellency,Excellence
excellent,excellent
except,à l'exception
exchange,échanger
excited,excité
excitement,excitation
exciting,passionnant
excuse,excuse
excuses,des excuses
executed,réalisé
executive,exécutif
exercise,exercer
exhales,exhales
exhausted,épuisé
exist,exister
existed,existé
existence,existence
exists,existant
exit,sortir
expect,attendre
expected,attendu
expecting,attendant
expensive,chere
experience,vivre
experienced,expérimenté
experiment,expérience
expert,expert
explain,Explique
explained,expliqué
explains,explique
explanation,explication
explode,exploser
explosion,explosion
exposed,exposé
express,Express
expression,expression
extra,En plus
extraordinary,extraordinaire
extreme,extrême
extremely,extrêmement
eye,œil
eyes,les yeux
f,F
fabulous,fabuleux
face,Visage
faced,face à face
faces,visages
facility,facilité
facing,orienté vers
fact,fait
factory,usine
facts,les faits
fail,échouer
failed,manqué
failure,échec
faint,perdre connaissance
fair,équitable
fairly,équitablement
fairy,Fée
faith,Foi
faithful,fidèle
fake,faux
fall,tomber
fallen,déchu
falling,chute
falls,des chutes
fame,célébrité
familiar,familier
families,familles
family,famille
famous,célèbre
fan,ventilateur
fancy,fantaisie
fans,Ventilateurs
fantastic,fantastique
fantasy,fantaisie
far,loin
farewell,adieu
farm,cultiver
farmer,agriculteur
fascinating,fascinant
fashion,mode
fast,vite
faster,plus rapide
fat,gros
fate,sort
father,père
fathers,pères
fault,défaut
favor,favoriser
favorite,favori
favour,favoriser
favourite,favori
fbi,FBI
fear,craindre
fears,peurs
