GB,FR
poet,poète
poetry,poésie
point,indiquer
points,points
poison,poison
poisoned,empoisonné
poker,poker
pole,pôle
police,police
policeman,policier
policy,politique
polish,polonais
polite,poli
political,politique
politics,politique
pool,bassin
poor,pauvre
pop,populaire
pope,le pape
pops,pop
popular,populaire
population,population
pork,porc
porn,porno
port,Port
pos,point de point
position,position
positions,positions
positive,positif
possession,possession
possibility,possibilité
possible,possible
possibly,peut-être
post,Publier
posted,affiché
pot,pot
potato,Patate
potatoes,pommes de terre
potential,potentiel
pound,livre
pounds,livres sterling
pour,verser
powder,poudre
power,Puissance
powerful,puissant
powers,pouvoirs
practical,pratique
practically,pratiquement
practice,pratique
practicing,pratiquant
praise,louer
pray,prier
prayer,prière
prayers,prières
praying,prière
precious,précieux
precisely,précisément
prefer,préfère
pregnant,Enceinte
prepare,préparer
prepared,préparé
preparing,en train de préparer
presence,présence
present,cadeau
presents,cadeaux
president,Président
press,presse
pressure,pression
pretend,faire semblant
pretending,prétendre
pretty,jolie
prevent,empêcher
previous,précédent
previously,précédemment
prey,proie
price,le prix
prick,piquer
pride,Orgueil
priest,prêtre
primary,primaire
prime,prime
prince,prince
princess,Princesse
principal,directeur
print,imprimer
prints,tirages
priority,priorité
prison,prison
prisoner,prisonnier
prisoners,les prisonniers
privacy,intimité
private,privé
prize,prix
pro,pro
probably,Probablement
problem,problème
problems,problèmes
procedure,procédure
proceed,poursuivre
process,traiter
produce,produire
produced,produit
producer,producteur
product,produit
production,production
profession,profession
professional,professionnelle
professor,professeur
profile,profil
profit,profit
program,programme
progress,le progrès
project,projet
prom,bal de promo
promise,promettre
promised,promis
promises,promesses
promotion,promotion
proof,preuve
proper,correct
properly,correctement
property,propriété
proposal,proposition
propose,proposer
prosecutor,procureur
protect,protéger
protected,protégé
protecting,protecteur
protection,protection
protest,manifestation
proud,fier
prove,prouver
proved,prouvé
provide,apporter
provided,fourni
psychic,psychique
psycho,psycho
pub,pub
public,Publique
pull,tirer
pulled,tiré
pulling,tirant
pulse,impulsion
pump,pompe
punch,coup de poing
punish,punir
punished,puni
punishment,Châtiment
punk,punk
puppy,chiot
pure,pur
purple,violet
purpose,objectif
purse,sac
push,pousser
pushed,poussé
pushing,poussée
pussy,chatte
put,mettre
puts,put
putting,en mettant
quality,qualité
quarter,trimestre
quarters,quartiers
queen,reine
question,question
questioning,interrogatoire
questions,des questions
quick,rapide
quickly,rapidement
quiet,calme
quietly,tranquillement
quinn,quinn
quit,quitter
quite,assez
quote,Devis
r,r
rabbit,lapin
race,course
rachel,Rachel
racing,courses
radar,radar
radiation,radiation
radio,radio
rage,rage
raid,raid
rain,pluie
raining,il pleut
raise,soulever
raised,soulevé
raising,élevage
ralph,ralph
ram,RAM
ran,couru
ranch,ranch
random,Aléatoire
randy,excité
range,intervalle
rangers,rangers
rap,rap
rape,râpé
raped,violé
rare,rare
rat,rat
rate,évaluer
rather,plutôt
rats,les rats
raw,cru
ray,rayon
raymond,Raymond
re,concernant
reach,atteindre
reached,atteint
react,réagir
reaction,réaction
read,lis
reading,en train de lire
ready,prêt
real,réel
realise,prendre conscience de
realised,réalisé
reality,réalité
realize,prendre conscience de
realized,réalisé
really,vraiment
rear,arrière
reason,raison
reasonable,raisonnable
reasons,les raisons
rebecca,Rebecca
recall,rappeler
receive,recevoir
received,reçu
recent,récent
recently,récemment
reception,ACCUEIL
reckon,croire
recognise,reconnaître
recognize,reconnaître
recognized,reconnu
recommend,recommander
record,enregistrement
recorded,enregistré
recording,enregistrement
records,enregistrements
recover,récupérer
recovered,rétabli
recovery,récupération
red,rouge
refuse,refuser
refused,refusé
regarding,En ce qui concerne
region,Région
register,S'inscrire
registered,inscrit
regret,regret
regular,habituel
rehearsal,répétition
related,en relation
relations,rapports
relationship,relation
relationships,des relations
relative,relatif
relatives,les proches
relax,Détendez-vous
release,Libération
released,publié
relief,le soulagement
relieved,soulagé
religion,la religion
religious,religieux
rely,compter
remain,rester
remaining,restant
remains,restes
remarkable,remarquable
remember,rappelles toi
remembered,rappelé
remind,rappeler
reminds,rappeler
remote,télécommande
remove,retirer
removed,supprimé
rent,location
repair,réparation
repeat,répéter
replace,remplacer
replaced,remplacé
report,rapport
reported,signalé
reporter,journaliste
reporting,déclaration
reports,rapports
represent,représenter
republic,république
reputation,réputation
request,demande
requested,demandé
require,exiger
required,obligatoire
requires,a besoin
rescue,sauvetage
research,rechercher
resist,résister
resistance,la résistance
resources,Ressources
respect,respect
respond,répondre
response,réponse
responsibility,responsabilité
responsible,responsable
rest,le repos
restaurant,restaurant
result,résultat
results,résultats
retired,à la retraite
retreat,battre en retraite
return,revenir
returned,revenu
returning,retour
returns,Retour
reveal,révéler
revealed,révélé
revenge,vengeance
reverend,révérend
reverse,inverse
review,examen
revolution,révolution
reward,récompense
rex,rex
rhythm,rythme
rice,riz
rich,riche
richard,Richard
rick,meule
ricky,ricky
rid,débarrasser
ride,balade
ridiculous,ridicule
riding,équitation
rifle,fusil
right,droit
rights,droits
riley,Riley
ring,bague
ringing,sonnerie
rings,anneaux
rip,repose en paix
ripped,déchiré
rise,monter
rising,en hausse
risk,risque
risks,des risques
risky,risqué
rita,Rita
ritual,rituel
river,fleuve
road,route
roads,routes
roaring,rugissement
rob,Rob
robbed,volé
robbery,vol
robert,Robert
robin,roupler
robot,robot
rock,rock
rocket,fusée
rocks,rochers
rocky,rocheux
roger,Roger
role,rôle
roll,rouleau
rolling,roulant
roman,romain
romance,romance
romantic,romantique
rome,Rome
romeo,Roméo
ron,Ron
ronnie,ronnie
roof,toit
room,chambre
roommate,colocataire
rooms,pièces
root,racine
rope,corde
rosa,Rosa
rose,Rose
roses,des roses
rosie,rosie
ross,ross
rotten,pourri
rough,rugueux
round,tour
rounds,Les manches
route,itinéraire
routine,routine
row,ligne
roy,roy
royal,Royal
rub,frotter
rubber,caoutchouc
rubbish,déchets
ruby,rubis
rude,Impoli
ruin,ruine
ruined,ruiné
rule,régner
rules,règles
rumbling,grondement
rumor,rumeur
rumors,rumeurs
run,Cours
running,fonctionnement
runs,courses
rush,se ruer
russell,Russell
russia,Russie
russian,russe
russians,les Russes
rusty,rouillé
ruth,Ruth
ryan,Ryan
s,s
s-,s-
sack,sac
sacred,sacré
sacrifice,sacrifice
sad,triste
safe,sûr
safely,sans encombre
safer,plus sûr
safety,sécurité
said,a dit
sail,naviguer
saint,Saint
sake,Saké
salad,salade
salary,un salaire
sale,vendre
sales,Ventes
sally,sortie
salt,sel
sam,Sam
samantha,Samantha
same,même
sammy,sammy
sample,goûter
samples,échantillons
san,San
sand,le sable
sandra,Sandra
sandwich,sandwich
sandy,sablonneux
sang,a chanté
santa,Père Noël
sara,Sara
sarah,Sarah
sarge,sarge
sat,assis
satan,Satan
satellite,Satellite
satisfied,satisfait
saturday,samedi
sauce,sauce
save,enregistrer
saved,enregistré
saving,économie
saw,vu
say,dire
saying,en disant
says,dit
scale,échelle
scan,analyse
scandal,scandale
scar,cicatrice
scare,effrayer
scared,effrayé
scary,angoissant
scene,scène
scenes,scènes
schedule,programme
school,école
schools,écoles
science,la science
scientific,scientifique
scientist,scientifique
scientists,scientifiques
scoffs,se moquer de
score,score
scotch,scotch
scotland,Écosse
scott,Scott
scout,scout
scratch,se gratter
scream,pousser un cri
screaming,en hurlant
screams,cris
screeching,crispade
screen,filtrer
screw,vis
screwed,vissé
script,scénario
scum,écume
sea,mer
seal,sceller
sealed,scellé
sean,Sean
search,chercher
searched,cherché
searching,recherche
season,saison
seat,siège
seats,des places
sebastian,Sébastien
sec,seconde
second,deuxième
seconds,secondes
secret,secret
secretary,secrétaire
secrets,secrets
section,section
secure,sécurisé
security,Sécurité
see,voir
seeing,voyant
seek,chercher
seem,sembler
seemed,semblant
seems,semble
seen,vu
sees,voir
self,soi
selfish,égoïste
sell,vendre
selling,vente
senator,sénateur
send,envoyer
sending,Envoi en cours
sends,envoi
senior,Sénior
sense,sens
senses,sens
sensitive,sensible
sent,expédié
sentence,phrase
separate,séparé
separated,séparé
september,septembre
sergeant,sergent
serial,en série
series,série
serious,sérieuse
seriously,sérieusement
servant,serviteur
servants,domestiques
serve,servez
served,servi
service,service
services,prestations de service
serving,portion
session,session
set,Positionner
seth,Seth
sets,sets
setting,paramètre
settle,régler
settled,colonisé
seven,Sept
several,plusieurs
severe,sévère
sex,sexe
sexual,sexuel
sexy,sexy
shadow,ombre
shadows,ombres
shake,secouer
shaking,tremblement
shall,devoir
shame,la honte
shane,shane
shape,forme
share,partager
shared,partagé
sharing,partage
shark,requin
sharp,tranchant
shave,raser
shawn,minet
she,elle
shed,hangar
sheep,mouton
sheet,feuille
sheets,des draps
shell,coquille
shelter,abri
sheriff,shérif
shh,shh
shield,bouclier
shift,décalage
shine,briller
shining,brillant
ship,bateau
ships,navires
shirt,chemise
shit,merde
shitty,merdique
shock,choc
shocked,sous le choc
shoe,chaussure
shoes,des chaussures
shoot,tirer
shooter,tireur
shooting,tournage
shop,magasin
shopping,achats
shore,rive
short,court
shortly,prochainement
shot,tir
shots,coups
should,devrait
shoulder,épaule
shoulders,épaules
shouldn,ne devrait pas
shout,cri
shouting,en criant
shouts,des cris
shove,pousser
show,Afficher
showed,montré
shower,douche
showing,projection
shown,indiqué
shows,spectacles
shut,fermer
shy,timide
si,si
sick,malade
sid,sid
side,côté
sides,côtés
sighing,soupirs
sighs,soupirer
sight,vue
sign,pancarte
signal,signal
signature,Signature
signed,signé
significant,important
signing,signature
signs,panneaux
silence,le silence
silent,silencieux
silk,soie
silly,idiot
silver,argent
similar,similaire
simon,Simon
simple,Facile
simply,simplement
sin,péché
since,puisque
sing,chanter
singer,chanteuse
singh,chant
singing,en chantant
single,Célibataire
sings,chanter
sink,évier
sins,péchés capitaux
sir,Monsieur
sire,sire
siren,sirène
sirens,sirènes
sis,soeur
sister,sœur
sisters,sœurs
sit,asseoir
site,placer
sits,se trouve
sitting,séance
situation,situation
six,six
sixth,sixième
size,Taille
skill,compétence
skills,compétences
skin,peau
skinny,mince
skip,sauter
skirt,jupe
skull,crâne
sky,ciel
slap,gifler
slave,trimer
slaves,des esclaves
sleep,dormir
sleeping,en train de dormir
slept,dormi
slide,faire glisser
slight,léger
slightly,légèrement
slip,caleçon
slipped,glissé
slow,lent
slowly,tout doucement
slut,salope
small,petit
smaller,plus petit
smart,intelligent
smarter,plus intelligent
smash,fracasser
smell,sentir
smells,odorce
smile,le sourire
smiling,souriant
smith,forgeron
smoke,fumée
smoking,fumeur
smooth,lisse
snake,serpent
snap,instantané
sneak,se faufiler
snow,neiger
so,alors
so-called,soi-disant
soap,du savon
sobbing,sanglot
sober,sobre
soccer,football
social,social
society,société
socks,chaussettes
soda,un soda
soft,"mou, tendre"
softly,doucement
soil,sol
solar,solaire
sold,vendu
soldier,soldat
soldiers,soldats
solid,solide
solo,solo
solution,la solution
solve,résoudre
solved,résolu
some,quelques
somebody,quelqu'un
someday,un jour
somehow,en quelque sorte
someone,quelqu'un
someplace,quelque part
somethin,quelque chose
something,quelque chose
sometime,parfois
sometimes,quelquefois
somewhat,quelque peu
somewhere,quelque part
son,fils
song,chanson
songs,Chansons
sonic,sonique
sonny,fiston
sons,fils
soon,bientôt
sooner,plus tôt
sophie,Sophie
sore,endolori
sorrow,tristesse
sorry,Pardon
sort,trier
sorts,sorte
soul,âme
souls,âme
sound,du son
sounded,sonore
sounds,des sons
soup,le potage
source,la source
south,sud
southern,du sud
soviet,soviétique
space,espace
spain,Espagne
spanish,Espagnol
spare,de rechange
speak,parler
speaker,conférencier
speaking,Parlant
speaks,parler
special,spécial
species,espèces
specific,spécifique
specifically,Plus précisément
speech,parole
speed,la rapidité
spell,sort
spencer,Spencer
spend,dépenser
spending,dépenses
spent,dépensé
spider,araignée
spike,pic
spin,tournoyer
spirit,esprit
spirits,esprits
spiritual,spirituel
spit,cracher
splendid,splendide
split,diviser
spoil,gâcher
spoke,parlait
spoken,parlé
sport,sport
sports,des sports
spot,endroit
spots,spots
spotted,Pointé
spread,se propager
spring,le printemps
spy,espionner
squad,équipe
square,carré
squeeze,presser
st,St
st.,St.
stab,coup de couteau
stabbed,poignardé
stable,écurie
staff,Personnel
stage,organiser
stairs,escaliers
stake,pieu
stan,stan
stand,supporter
standard,la norme
standing,debout
stands,des stands
stanley,Stanley
star,étoile
stare,regard
staring,en regardant
stars,étoiles
start,début
started,a débuté
starting,départ
starts,départs
starving,affamée
state,Etat
statement,déclaration
states,États
station,station
stations,stations
statue,statue
status,statut
stay,rester
stayed,séjourné
staying,séjour
stays,séjour
steady,constant
steak,bifteck
steal,voler
stealing,vol
steam,vapeur
steel,acier
step,marcher
stephen,Stephen
stepped,pas
steps,pas
steve,Steve
steven,Steven
stick,coller
sticking,collage
sticks,des bâtons
still,toujours
stink,puer
stinks,puant
stock,Stock
stole,a volé
stolen,volé
stomach,estomac
stone,pierre
stones,des pierres
stood,se trouvait
stop,arrêt
stopped,arrêté
stopping,arrêt
stops,arrêts
storage,stockage
store,boutique
stories,histoires
storm,tempête
story,histoire
straight,droit
strange,étrange
stranger,étranger
strangers,étrangers
strategy,stratégie
street,rue
streets,des rues
strength,force
stress,stresser
stretch,extensible
strike,la grève
strikes,grèves
string,chaîne de caractères
strip,déshabiller
stroke,accident vasculaire cérébral
strong,fort
stronger,plus forte
struck,frappé
structure,structure
struggle,lutter
struggling,luttant
stuart,Stuart
stubborn,tête de mule
stuck,bloqué
student,étudiant
students,étudiants
studied,étudié
studies,études
studio,studio
study,étude
studying,en train d'étudier
stuff,des trucs
stuffed,farci
stupid,stupide
style,style
subject,matière
subtitles,Les sous-titres
succeed,réussir
success,Succès
successful,couronné de succès
such,tel
suck,sucer
sucker,ventouse
sucks,suce
sudden,soudain
suddenly,soudain
sue,poursuivre en justice
suffer,souffrir
suffered,souffert
suffering,Souffrance
sugar,du sucre
suggest,suggérer
suggested,suggéré
suggesting,suggérant
suicide,suicide
suit,costume
suitcase,valise
suite,suite
suits,combinaisons
sum,somme
summer,été
sun,Soleil
sunday,dimanche
sunny,ensoleillé
sunshine,ensoleillement
super,super
superior,supérieur
superman,Superman
supper,souper
supplies,Provisions
supply,la fourniture
support,Support
suppose,supposer
supposed,censé
supreme,suprême
sure,Bien sur
surely,sûrement
surface,surface
surgeon,chirurgien
surgery,opération
surprise,surprendre
surprised,surpris
surprises,surprises
surprising,surprenant
surrender,abandon
surrounded,entouré
surveillance,surveillance
survival,survie
survive,survivre
survived,Survécu
susan,Susan
suspect,suspect
suspected,soupçonné
suspects,suspects
suspended,suspendu
suspicious,méfiant
swallow,avaler
swear,jurer
sweat,sueur
sweep,balayer
sweet,sucré
sweetheart,amoureux
sweetie,ma chérie
swell,gonfler
swim,baignade
swimming,natation
swing,se balancer
switch,changer
sword,épée
sydney,Sydney
symbol,symbole
symptoms,les symptômes
sync,synchronisation
system,système
systems,systèmes
t,t
t-,t-
table,table
tables,les tables
tag,étiquette
tail,queue
take,prendre
taken,pris
takes,prendre des prises
taking,prise
tale,conte
talent,Talent
talented,talentueux
talk,parler
talked,a parlé
talkin,parler
talking,en parlant
talks,pourparlers
tall,haut
tank,Char
tap,robinet
tape,ruban
tapes,cassettes
tara,Tara
target,cible
task,tâche
taste,goûter
tastes,goûts
tattoo,tatouage
taught,a enseigné
tax,impôt
taxes,taxes
taxi,Taxi
taylor,taylor
tea,thé
teach,apprendre
teacher,prof
teachers,enseignants
teaching,enseignement
team,équipe
teams,équipes
tear,larme
tears,larmes
tech,technologie
technically,techniquement
technique,technique
technology,La technologie
ted,ted
teddy,en peluche
teenage,adolescent
teeth,les dents
telephone,Téléphone
television,télévision
tell,raconter
telling,récit
tells,raconte
temper,caractère
temperature,Température
temple,temple
temporary,temporaire
ten,Dix
tend,tendre
tender,offre
tennis,tennis
tense,tendu
tension,tension
tent,tente
term,terme
terms,termes
terrible,terrible
terribly,terriblement
terrific,formidable
terrified,terrifié
territory,territoire
terror,la terreur
terrorist,terroriste
terrorists,les terroristes
terry,gâchis
test,test
tested,testé
testify,témoigner
testimony,témoignage
testing,essai
tests,tests
texas,Texas
text,texte
than,que
thank,remercier
thanks,Merci
thanksgiving,action de grâces
that,ce
the,la
the,la
theater,théâtre
theatre,théâtre
thee,te
theft,vol
their,leur
them,leur
theme,thème
themselves,eux-mêmes
then,alors
theory,la théorie
therapy,thérapie
there,là
therefore,Donc
these,ces
they,elles ou ils
thick,épais
thief,voleur
thieves,voleurs
thin,mince
thing,chose
things,des choses
think,pense
thinking,en pensant
thinks,pense
third,troisième
thirsty,assoiffé
thirty,trente
this,cette
thomas,Thomas
those,ceux
thou,tu
though,pourtant
thought,pensait
thoughts,les pensées
thousand,mille
thousands,milliers
threat,menace
threaten,menacer
threatened,menacé
threatening,menaçant
threats,des menaces
three,Trois
threw,jeta
throat,gorge
throne,trône
through,à travers
throughout,à travers
throw,jeter
throwing,lancement
thrown,jeté
thunder,tonnerre
thursday,jeudi
thus,Donc
thy,tes
ticket,billet
tickets,des billets
tie,cravate
tied,lié
ties,cravates
tiger,tigre
tight,serré
till,jusqu'à
tim,Tim
time,temps
times,fois
timing,Horaire
tin,étain
tina,Tina
tiny,minuscule
tip,pointe
tire,pneu
tired,fatigué
tires,pneus
tissue,tissu
title,Titre
tits,seins
to,à
toast,pain grillé
toby,toby
today,aujourd'hui
todd,todd
toes,orteils
together,ensemble
toilet,toilette
tokyo,Tokyo
told,Raconté
tom,à M
tommy,tommy
tomorrow,demain
ton,tonne
tone,Ton
tongue,langue
tonight,ce soir
tons,tonnes
tony,Tony
too,aussi
took,ont pris
tool,outil
tools,outils
tooth,dent
top,Haut
torn,déchiré
torture,torture
toss,lancer
total,total
totally,totalement
touch,toucher
touched,touché
touching,émouvant
tough,dure
tour,tour
toward,vers
towards,envers
towel,serviette
tower,la tour
town,ville
toy,jouet
toys,jouets
trace,trace
track,Piste
tracking,suivi
tracks,des pistes
tracy,tracy
trade,Commerce
tradition,tradition
traditional,traditionnel
traffic,Circulation
tragedy,la tragédie
tragic,tragique
trail,Piste
trailer,bande annonce
train,former
trained,qualifié
training,entraînement
traitor,traitre
transfer,transférer
transferred,transféré
transport,le transport
trap,piège
trapped,piégé
trash,déchets
trauma,traumatisme
travel,voyager
traveling,en voyageant
travis,travis
treasure,trésor
treat,traiter
treated,traité
treating,traitement
treatment,traitement
tree,arbre
trees,des arbres
trevor,Trevor
trial,essai
tribe,tribu
trick,tour
tricks,des trucs
tried,a essayé
tries,essais
trigger,gâchette
trip,voyage
troops,troupes
trouble,difficulté
troubles,troubles
troy,troy
truck,un camion
truly,vraiment
trunk,tronc
trust,confiance
trusted,de confiance
truth,vérité
try,essayer
trying,en essayant
tub,baignoire
tube,tube
tuesday,mardi
tune,régler
tunnel,tunnel
turkey,dinde
turn,tour
turned,tourné
turner,tourneur
turning,tournant
turns,se tourne
turtle,tortue
tv,la télé
twelve,Douze
twenty,vingt
twice,deux fois
twin,double
twins,des jumeaux
twist,tourner
twisted,tordu
two,deux
tyler,Tyler
type,taper
types,les types
typical,typique
u,u
u.s.,nous.
ugh,Pouah
ugly,moche
uh,euh
uh-,euh-
uh-huh,Uh-huh
uh-oh,Uh-oh
uh-uh,uh-uh
uhh,euh
ultimate,ultime
um,um
un,ONU
unable,incapable
unbelievable,incroyable
uncle,oncle
uncomfortable,inconfortable
unconscious,inconscient
under,en dessous de
undercover,à l'abri
underground,clandestinement
underneath,sous
understand,comprendre
understanding,entente
understands,comprendre
understood,entendu
underwear,sous-vêtement
unexpected,inattendu
unfair,injuste
unfortunate,malheureux
unfortunately,malheureusement
unhappy,malheureux
uniform,uniforme
union,syndicat
unique,unique
unit,unité
united,uni
units,unités
universe,univers
university,université
unknown,inconnue
unless,sauf si
unlike,contrairement à
until,jusqu'à
unusual,inhabituel
up,en haut
upon,sur
upper,plus haut
upset,bouleversé
upside,avantage
upstairs,en haut
urgent,urgent
us,nous
use,utilisation
used,utilisé
useful,utile
useless,inutile
uses,les usages
using,utilisant
usual,habituel
usually,d'habitude
vacation,vacances
valentine,Valentin
valley,vallée
valuable,de valeur
value,évaluer
vampire,vampire
van,van
vanessa,vanessa
various,divers
vast,vaste
vault,sauter
ve,ve
vegas,Vegas
vehicle,véhicule
version,version
very,très
vessel,navire
vic,vic
vice,vice
victim,victime
victims,victimes
victor,Victor
victoria,victoria
victory,la victoire
video,vidéo
vietnam,Vietnam
view,voir
villa,villa
village,village
vince,Vince
vincent,Vincent
violence,la violence
violent,violent
virgin,vierge
virginia,Virginie
virus,virus
vision,vision
visit,visite
visited,a visité
visiting,en visite
visitor,visiteur
visitors,visiteurs
visual,visuel
vital,vital
vodka,Vodka
voice,voix
voices,voix
volunteer,bénévole
von,von
vote,voter
voted,voté
votes,votes
vulnerable,vulnérable
w,w
wade,patauger
wagon,wagon
wailing,pleurs
wait,Attendez
waited,attendu
waiter,serveur
waiting,attendre
wake,se réveiller
walk,marche
walked,marcher
walker,marcheur
walking,en marchant
walks,des promenades
wall,mur
wallet,porte monnaie
walls,des murs
walt,walt
walter,Walter
wanna,voulez
want,vouloir
wanted,recherché
wanting,manquant
wants,veut
war,guerre
ward,quartier
warden,directeur
warehouse,entrepôt
warm,chaleureuse
warn,prévenir
warned,averti
warning,Attention
warrant,garantir
warren,garenne
warrior,guerrier
wars,guerres
was,a été
wash,lavage
washed,lavé
washing,la lessive
washington,Washington
wasn,Wasn
waste,déchets
wasted,gaspillé
wasting,gaspillage
watch,Regardez
watched,regardé
watching,en train de regarder
water,l'eau
waters,eaux
watson,Watson
wave,vague
waves,vagues
way,façon
wayne,Wayne
ways,façons
we,nous
weak,faible
weakness,la faiblesse
wealth,richesse
weapon,arme
weapons,armes
wear,usure
wearing,portant
wears,s'arrêter
weather,Météo
web,la toile
wedding,mariage
wednesday,mercredi
wee,pipi
weed,mauvaise herbe
week,la semaine
weekend,fin de semaine
weeks,semaines
weight,lester
weird,bizarre
welcome,accueillir
well,bien
wendy,wendy
went,est allé
were,étaient
weren,weren
west,Ouest
western,occidental
wet,humide
wha,qui
whale,baleine
what,Quel
whatever,peu importe
wheel,la roue
wheels,roues
when,lorsque
whenever,chaque fois que
where,où
wherever,partout où
whether,qu'il s'agisse
which,qui
while,tandis que
whimpering,gémissements
whip,fouet
whirring,tourbillon
whiskey,whisky
whispering,chuchotement
whispers,chuchotement
whistle,siffler
whistles,siffle
whistling,sifflement
white,blanche
who,qui
whoa,whoa
whoever,quiconque
whole,ensemble
whom,qui
whoo,whoo
whore,putain
whose,à qui
why,Pourquoi
wicked,méchant
wide,large
widow,veuve
wife,épouse
wild,sauvage
will,sera
william,William
williams,Williams
willie,Willie
willing,prêt
wilson,Wilson
win,gagner
wind,vent
window,la fenêtre
windows,les fenêtres
wine,vin
wing,aile
wings,ailes
winner,gagnant
winning,gagnant
wins,victoires
winter,l'hiver
wipe,essuyer
wiped,essuyé
wire,fil
wisdom,sagesse
wise,sage
wish,souhaiter
wished,souhaité
wishes,vœux
witch,sorcière
with,avec
within,dans
without,sans pour autant
witness,témoin
witnesses,les témoins
wives,épouses
woke,réveillé
wolf,loup
wolves,loups
woman,femme
women,femmes
won,a gagné
wonder,merveille
wondered,demandé
wonderful,magnifique
wondering,se demandant
woo,courtiser
wood,bois
woods,les bois
word,mot
words,mots
wore,portait
work,travailler
worked,travaillé
worker,ouvrier
workers,ouvriers
working,travail
works,œuvres
world,monde
worlds,monde
worn,porté
worried,préoccupé
worries,des soucis
worry,inquiétude
worrying,inquiétant
worse,pire
worst,pire
worth,la peine
worthless,sans valeur
worthy,digne
would,aurait
wouldn,ne
wound,plaie
wounded,blessés
wounds,blessures
wow,wow
wrap,envelopper
wrapped,enveloppé
wreck,détruire
write,écrivez
writer,écrivain
writing,l'écriture
written,écrit
wrong,mauvais
wrote,a écrit
x,X
y,y
ya,ya
yang,yang
yard,cour
yards,verges
yay,Yay
ye,vous
yeah,Oui
year,an
years,années
yell,crier
yelling,cris
yellow,jaune
yells,cris
yen,yen
yep,ouais
yes,oui
yesterday,hier
yet,encore
yo,toi
york,York
you,tu
you,tu
you-,tu-
young,Jeune
younger,plus jeune
your,ton
yours,le tiens
yourself,toi-même
yourselves,vous-mêmes
youth,jeunesse
yup,ouais
zero,zéro
zoe,zoe
zone,zone
zoo,zoo
FALSE,FAUX
TRUE,vrai